,Site,Date,Designated,Location,Coordinates,Latitude,Longitude,Description,Type
0,Adelaide Hunter Hoodless Homestead ,1839 (completed),1995,Brant County,"43.23694,-80.29667",43.23694,-80.29667,"The childhood home of activist and organizer Adelaide Hunter Hoodless, educational reformer and co-founder of the Women's Institute, the National Council of Women of Canada and the Victorian Order of Nurses",NHistoric
1,Algoma Central Engine House ,1912 (completed),1992,Sault Ste. Marie,"46.5281611,-84.3505389",46.5281611,-84.3505389,"A well-preserved example of a brick engine house, and the first in Canada to have an internal turntable",NHistoric
2,Algonquin Provincial Park ,1893 (established),1992,Nipissing - Unorganized South Part (primarily),"45.58417,-78.35833",45.58417,-78.35833,"The first provincial park in Canada, noted for its pioneering role in park management, visitor interpretation programs and the development of park buildings and structures, as well as its role in inspiring artists such as the Group of Seven",NHistoric
3,Amherstburg First Baptist Church ,1849 (completed),2012,Amherstburg ,"42.1026833,-83.1057361",42.1026833,-83.1057361,A modest wooden church that was a major Underground Railroad church in Upper Canada and that played a crucial role in the development of the Black community in Ontario,NHistoric
4,Amherstburg Navy Yard ,1796 (established),1928,Amherstburg ,"42.1018833,-83.1125583",42.1018833,-83.1125583,"The site of a Royal Navy shipyard from 1796â€“1813, which served as the hub of the British naval presence on the upper Great Lakes",NHistoric
5,Annandale House/Tillsonburg Museum ,1882 (completed),1997,Tillsonburg,"42.86250,-80.72167",42.8625,-80.72167,One of the best surviving illustrations in Canada of the Aesthetic Movement and the movement's major impact on domestic architecture in Canada,NHistoric
6,Backhouse Grist Mill ,1798 (completed),1998,Norfolk County,"42.6427000,-80.4748000",42.6427,-80.4748,"One of the few gristmills in this region not to be burned during the War of 1812, it is one of the oldest and best preserved examples in Canada of small-scale, water-powered establishments found throughout the country in the 19th and early 20th centuries",NHistoric
7,Banting House ,1900 (completed),1997,London,"42.9899583,-81.2317944",42.9899583,-81.2317944,A yellow-brick house recognized as the site of the defining moment in the discovery of insulin by Frederick Banting,NHistoric
8,Barnum House ,1820 (completed),1959,Grafton,"43.9944361,-78.015889",43.9944361,-78.015889,A noted example of Neoclassic domestic architecture as brought to Canada by settlers from New England,NHistoric
9,Battle Hill ,1814 (battle),1924,Southwest Middlesex,"42.69417,-81.70500",42.69417,-81.705,The site of the Battle of Longwoods during the War of 1812,NHistoric
10,Battle of Crysler's Farm ,1813 (battle),1920,South Dundas,"44.9419778,-75.0701722",44.9419778,-75.0701722,"The site of a victory by badly outnumbered British troops in the War of 1812, prompting the American forces to abandon the St. Lawrence Campaign; the original battle site was submerged in 1958 by the construction of the Saint Lawrence Seaway, so the 1895 monument was relocated to its current location in Crysler's Farm Battlefield Park near Upper Canada Village",NHistoric
11,Battle of the Windmill ,1838 (battle),1920,Prescott,"44.7209000,-75.4871000",44.7209,-75.4871,"The site a battle fought during the Upper Canada Rebellion, whereby Loyalist forces defeated an invasion attempt by Hunter Patriot insurgents based in the United States",NHistoric
12,Beausoleil Island ,,2011,Muskoka District,"44.8661000,-79.8699000",44.8661,-79.8699,An island within Georgian Bay Islands National Park; a cultural landscape of the Anishinaabeg,NHistoric
13,Beechcroft and Lakehurst Gardens ,1870 (ca.) (established),1978,Roches Point,"44.2733111,-79.5030250",44.2733111,-79.503025,Gardens reportedly designed by Frederick Law Olmsted,NHistoric
14,Bell Homestead ,1858 (completed),1996,Brantford,"43.107917,-80.2708361",43.107917,-80.2708361,"The first home of Alexander Graham Bell in North America, it is associated with the conception of and early long-distance trials of the telephone",NHistoric
15,Belle Vue ,1819 (completed),1959,Amherstburg,"42.093222,-83.1127750",42.093222,-83.112775,"A two-storey, white painted, brick house constructed for the Deputy Assistant Commissary General of the garrison at Fort Malden, ranking among the finest examples of Palladian architecture in Canada",NHistoric
16,Belleville Railway Station (Grand Trunk) ,1856 (completed),1973,Belleville,"44.1790028,-77.3747361",44.1790028,-77.3747361,"A railway station representative of the larger stations erected for the newly formed Grand Trunk Railway along the key Toronto to Montreal line during the mid-19th century, it is the oldest continuously operating passenger train station in Canada",NHistoric
17,Bethune Memorial House ,1880 (completed),1996,Gravenhurst,"44.9204028,-79.3761361",44.9204028,-79.3761361,The birthplace of Dr. Norman Bethune,NHistoric
18,Bethune-Thompson House / White House ,1805 (completed),1966,Williamstown,"45.1437972,-74.5747889",45.1437972,-74.5747889,"A noted early Ontario home, representative of the design and construction techniques from the period; portions date to the 1780s when Loyalist Peter Ferguson settled on the site, but the main structure was built in 1805 as a manse for Reverend John Bethune, the first Presbyterian minister in Upper Canada and was later the residence of explorer David Thompson",NHistoric
19,Billy Bishop Boyhood Home ,1884 (completed),2002,Owen Sound,"44.56639,-80.947639",44.56639,-80.947639,The birthplace and childhood home of First World War flying ace Billy Bishop,NHistoric
20,Bois Blanc Island Lighthouse and Blockhouse ,"1837 (lighthouse completed), 1839 (blockhouse completed)",1955,Bois Blanc Island,"42.0878250,-83.1198556",42.087825,-83.1198556,"The site of the attack by Canadian rebels and their American supporters in January 1838 during the Upper Canada Rebellion; in response to the raid, the blockhouse was built to complement the reconstructed Fort Malden",NHistoric
21,Bridge Island / Chimney Island ,1814 (blockhouse completed),1936,Front of Yonge,"44.4686417,-75.8345028",44.4686417,-75.8345028,Formerly the site of a naval station during the War of 1812,NHistoric
22,Buxton Settlement ,1849 (established),1999,Chatham-Kent,"42.305667,-82.220417",42.305667,-82.220417,"A community founded by abolitionist Reverend William King, 15 former American slaves, and an association which included James Bruce, 8th Earl of Elgin, then the Governor General of Canada, to create a haven for fugitive slaves escaping via the Underground Railroad",NHistoric
